Sorted container:
Container contains 10000 elements.0: It is Parallelepiped: a = 20, b = 20, c = 20. SurfaceArea = 2400.000000.
1: It is Parallelepiped: a = 19, b = 20, c = 20. SurfaceArea = 2320.000000.
2: It is Parallelepiped: a = 20, b = 19, c = 20. SurfaceArea = 2320.000000.
3: It is Parallelepiped: a = 19, b = 19, c = 20. SurfaceArea = 2242.000000.
4: It is Parallelepiped: a = 18, b = 20, c = 20. SurfaceArea = 2240.000000.
5: It is Parallelepiped: a = 20, b = 18, c = 20. SurfaceArea = 2240.000000.
6: It is Parallelepiped: a = 19, b = 19, c = 19. SurfaceArea = 2166.000000.
7: It is Parallelepiped: a = 19, b = 18, c = 20. SurfaceArea = 2164.000000.
8: It is Parallelepiped: a = 18, b = 19, c = 20. SurfaceArea = 2164.000000.
9: It is Parallelepiped: a = 19, b = 18, c = 20. SurfaceArea = 2164.000000.
10: It is Parallelepiped: a = 17, b = 20, c = 20. SurfaceArea = 2160.000000.
11: It is Parallelepiped: a = 18, b = 18, c = 20. SurfaceArea = 2088.000000.
12: It is Parallelepiped: a = 18, b = 20, c = 18. SurfaceArea = 2088.000000.
13: It is Parallelepiped: a = 17, b = 19, c = 20. SurfaceArea = 2086.000000.
14: It is Parallelepiped: a = 17, b = 20, c = 19. SurfaceArea = 2086.000000.
15: It is Parallelepiped: a = 19, b = 19, c = 17. SurfaceArea = 2014.000000.
16: It is Parallelepiped: a = 16, b = 20, c = 19. SurfaceArea = 2008.000000.
17: It is Parallelepiped: a = 16, b = 19, c = 20. SurfaceArea = 2008.000000.
18: It is Parallelepiped: a = 20, b = 16, c = 19. SurfaceArea = 2008.000000.
19: It is Parallelepiped: a = 20, b = 16, c = 19. SurfaceArea = 2008.000000.
20: It is Parallelepiped: a = 20, b = 20, c = 15. SurfaceArea = 2000.000000.
21: It is Parallelepiped: a = 20, b = 15, c = 20. SurfaceArea = 2000.000000.
22: It is Parallelepiped: a = 20, b = 20, c = 15. SurfaceArea = 2000.000000.
23: It is Parallelepiped: a = 20, b = 20, c = 15. SurfaceArea = 2000.000000.
24: It is Parallelepiped: a = 18, b = 18, c = 18. SurfaceArea = 1944.000000.
25: It is Parallelepiped: a = 18, b = 19, c = 17. SurfaceArea = 1942.000000.
26: It is Parallelepiped: a = 18, b = 19, c = 17. SurfaceArea = 1942.000000.
27: It is Parallelepiped: a = 19, b = 16, c = 19. SurfaceArea = 1938.000000.
28: It is Parallelepiped: a = 19, b = 16, c = 19. SurfaceArea = 1938.000000.
29: It is Parallelepiped: a = 18, b = 20, c = 16. SurfaceArea = 1936.000000.
30: It is Parallelepiped: a = 16, b = 20, c = 18. SurfaceArea = 1936.000000.
31: It is Parallelepiped: a = 15, b = 20, c = 19. SurfaceArea = 1930.000000.
32: It is Parallelepiped: a = 17, b = 18, c = 18. SurfaceArea = 1872.000000.
33: It is Parallelepiped: a = 19, b = 17, c = 17. SurfaceArea = 1870.000000.
34: It is Parallelepiped: a = 19, b = 17, c = 17. SurfaceArea = 1870.000000.
35: It is Parallelepiped: a = 17, b = 19, c = 17. SurfaceArea = 1870.000000.
36: It is Parallelepiped: a = 19, b = 18, c = 16. SurfaceArea = 1868.000000.
37: It is Parallelepiped: a = 16, b = 17, c = 20. SurfaceArea = 1864.000000.
38: It is Parallelepiped: a = 16, b = 17, c = 20. SurfaceArea = 1864.000000.
39: It is Parallelepiped: a = 15, b = 19, c = 19. SurfaceArea = 1862.000000.
40: It is Parallelepiped: a = 15, b = 20, c = 18. SurfaceArea = 1860.000000.
41: It is Parallelepiped: a = 15, b = 20, c = 18. SurfaceArea = 1860.000000.
42: It is Parallelepiped: a = 14, b = 19, c = 20. SurfaceArea = 1852.000000.
43: It is Parallelepiped: a = 20, b = 19, c = 14. SurfaceArea = 1852.000000.
44: It is Parallelepiped: a = 18, b = 16, c = 18. SurfaceArea = 1800.000000.
45: It is Parallelepiped: a = 18, b = 19, c = 15. SurfaceArea = 1794.000000.
46: It is Parallelepiped: a = 16, b = 20, c = 16. SurfaceArea = 1792.000000.
47: It is Parallelepiped: a = 20, b = 17, c = 15. SurfaceArea = 1790.000000.
48: It is Parallelepiped: a = 15, b = 17, c = 20. SurfaceArea = 1790.000000.
49: It is Parallelepiped: a = 14, b = 18, c = 20. SurfaceArea = 1784.000000.
50: It is Parallelepiped: a = 14, b = 18, c = 20. SurfaceArea = 1784.000000.
51: It is Parallelepiped: a = 18, b = 20, c = 14. SurfaceArea = 1784.000000.
52: It is Parallelepiped: a = 13, b = 19, c = 20. SurfaceArea = 1774.000000.
53: It is Parallelepiped: a = 13, b = 19, c = 20. SurfaceArea = 1774.000000.
54: It is Parallelepiped: a = 17, b = 17, c = 17. SurfaceArea = 1734.000000.
55: It is Parallelepiped: a = 16, b = 17, c = 18. SurfaceArea = 1732.000000.
56: It is Parallelepiped: a = 16, b = 19, c = 16. SurfaceArea = 1728.000000.
57: It is Parallelepiped: a = 19, b = 16, c = 16. SurfaceArea = 1728.000000.
58: It is Parallelepiped: a = 19, b = 16, c = 16. SurfaceArea = 1728.000000.
59: It is Parallelepiped: a = 19, b = 15, c = 17. SurfaceArea = 1726.000000.
60: It is Parallelepiped: a = 14, b = 19, c = 18. SurfaceArea = 1720.000000.
61: It is Parallelepiped: a = 15, b = 16, c = 20. SurfaceArea = 1720.000000.
62: It is Parallelepiped: a = 20, b = 16, c = 15. SurfaceArea = 1720.000000.
63: It is Parallelepiped: a = 17, b = 14, c = 20. SurfaceArea = 1716.000000.
64: It is Parallelepiped: a = 19, b = 13, c = 19. SurfaceArea = 1710.000000.
65: It is Parallelepiped: a = 19, b = 13, c = 19. SurfaceArea = 1710.000000.
66: It is Parallelepiped: a = 13, b = 18, c = 20. SurfaceArea = 1708.000000.
67: It is Parallelepiped: a = 19, b = 12, c = 20. SurfaceArea = 1696.000000.
68: It is Parallelepiped: a = 20, b = 19, c = 12. SurfaceArea = 1696.000000.
69: It is Parallelepiped: a = 12, b = 20, c = 19. SurfaceArea = 1696.000000.
70: It is Parallelepiped: a = 12, b = 20, c = 19. SurfaceArea = 1696.000000.
71: It is Parallelepiped: a = 20, b = 11, c = 20. SurfaceArea = 1680.000000.
72: It is Parallelepiped: a = 20, b = 20, c = 11. SurfaceArea = 1680.000000.
73: It is Parallelepiped: a = 20, b = 20, c = 11. SurfaceArea = 1680.000000.
74: It is Parallelepiped: a = 20, b = 11, c = 20. SurfaceArea = 1680.000000.
75: It is Parallelepiped: a = 20, b = 11, c = 20. SurfaceArea = 1680.000000.
76: It is Parallelepiped: a = 17, b = 17, c = 16. SurfaceArea = 1666.000000.
77: It is Parallelepiped: a = 16, b = 16, c = 18. SurfaceArea = 1664.000000.
78: It is Parallelepiped: a = 17, b = 18, c = 15. SurfaceArea = 1662.000000.
79: It is Parallelepiped: a = 17, b = 15, c = 18. SurfaceArea = 1662.000000.
80: It is Parallelepiped: a = 17, b = 18, c = 15. SurfaceArea = 1662.000000.
81: It is Parallelepiped: a = 17, b = 18, c = 15. SurfaceArea = 1662.000000.
82: It is Parallelepiped: a = 15, b = 19, c = 16. SurfaceArea = 1658.000000.
83: It is Parallelepiped: a = 19, b = 16, c = 15. SurfaceArea = 1658.000000.
84: It is Parallelepiped: a = 16, b = 19, c = 15. SurfaceArea = 1658.000000.
85: It is Parallelepiped: a = 17, b = 14, c = 19. SurfaceArea = 1654.000000.
86: It is Parallelepiped: a = 14, b = 19, c = 17. SurfaceArea = 1654.000000.
87: It is Parallelepiped: a = 14, b = 17, c = 19. SurfaceArea = 1654.000000.
88: It is Parallelepiped: a = 17, b = 19, c = 14. SurfaceArea = 1654.000000.
89: It is Parallelepiped: a = 15, b = 20, c = 15. SurfaceArea = 1650.000000.
90: It is Parallelepiped: a = 14, b = 20, c = 16. SurfaceArea = 1648.000000.
91: It is Parallelepiped: a = 16, b = 14, c = 20. SurfaceArea = 1648.000000.
92: It is Parallelepiped: a = 18, b = 19, c = 13. SurfaceArea = 1646.000000.
93: It is Parallelepiped: a = 19, b = 18, c = 13. SurfaceArea = 1646.000000.
94: It is Parallelepiped: a = 13, b = 20, c = 17. SurfaceArea = 1642.000000.
95: It is Parallelepiped: a = 17, b = 20, c = 13. SurfaceArea = 1642.000000.
96: It is Parallelepiped: a = 17, b = 13, c = 20. SurfaceArea = 1642.000000.
97: It is Parallelepiped: a = 19, b = 19, c = 12. SurfaceArea = 1634.000000.
